Buried_area_upon_the_complex_formation_(A),2948.1
Buried_area_upon_the_complex_formation_(%),7.53
Interface_area_(A),1474.05
Interface_area_MOL1_(%),8.32
Interface_area_MOL2_(%),6.89
POLAR_Buried_area_upon_the_complex_formation_(A),1674.8
POLAR_Buried_area_upon_the_complex_formation_(%),56.81
POLAR_Interface_area_(A),837.4
NO_POLAR_Buried_area_upon_the_complex_formation_(A<sup>2</sup>),1273.4
NO_POLAR_Buried_area_upon_the_complex_formation_(%),43.19
NO_POLAR_Interface_area_(A),636.7
Residues_at_the_interface_TOT_(n),76
Residues_at_the_interface_Mol1_(n),39
Residues_at_the_interface_Mol2_(n),37
