Buried_area_upon_the_complex_formation_(A),2955.0
Buried_area_upon_the_complex_formation_(%),7.67
Interface_area_(A),1477.5
Interface_area_MOL1_(%),8.35
Interface_area_MOL2_(%),7.09
POLAR_Buried_area_upon_the_complex_formation_(A),1803.6
POLAR_Buried_area_upon_the_complex_formation_(%),61.04
POLAR_Interface_area_(A),901.8
NO_POLAR_Buried_area_upon_the_complex_formation_(A<sup>2</sup>),1151.4
NO_POLAR_Buried_area_upon_the_complex_formation_(%),38.96
NO_POLAR_Interface_area_(A),575.7
Residues_at_the_interface_TOT_(n),76
Residues_at_the_interface_Mol1_(n),38
Residues_at_the_interface_Mol2_(n),38
