Buried_area_upon_the_complex_formation_(A),3107.4
Buried_area_upon_the_complex_formation_(%),7.88
Interface_area_(A),1553.7
Interface_area_MOL1_(%),8.58
Interface_area_MOL2_(%),7.29
POLAR_Buried_area_upon_the_complex_formation_(A),1855.0
POLAR_Buried_area_upon_the_complex_formation_(%),59.70
POLAR_Interface_area_(A),927.5
NO_POLAR_Buried_area_upon_the_complex_formation_(A<sup>2</sup>),1252.3
NO_POLAR_Buried_area_upon_the_complex_formation_(%),40.30
NO_POLAR_Interface_area_(A),626.15
Residues_at_the_interface_TOT_(n),84
Residues_at_the_interface_Mol1_(n),39
Residues_at_the_interface_Mol2_(n),45
